name,online_order,book_table,rate,votes,approx_cost(for two people),listed_in(type),city,year
Restaurant_0,No,No,3.5,3566,509,Café,Hyderabad,2024
Restaurant_1,Yes,Yes,2.4,1089,4152,Fine Dining,Chennai,2021
Restaurant_2,Yes,Yes,3.3,4328,3249,Quick Bites,Pune,2022
Restaurant_3,No,No,3.0,188,1764,Quick Bites,Bangalore,2024
Restaurant_4,Yes,No,2.6,2857,1700,Casual Dining,Hyderabad,2020
Restaurant_5,No,No,2.0,1970,215,Fine Dining,Kolkata,2025
Restaurant_6,Yes,No,3.4,1483,805,Café,Mumbai,2022
Restaurant_7,Yes,No,4.1,4898,1581,Quick Bites,Hyderabad,2022
Restaurant_8,Yes,No,2.7,4989,3583,Quick Bites,Kolkata,2024
Restaurant_9,No,Yes,2.4,1222,1094,Casual Dining,Pune,2019
Restaurant_10,Yes,No,4.7,819,1767,Buffet,Pune,2020
Restaurant_11,Yes,No,2.8,429,613,Café,Mumbai,2024
Restaurant_12,No,No,2.7,3669,4320,Fine Dining,Delhi,2020
Restaurant_13,No,No,4.6,3826,2204,Quick Bites,Mumbai,2020
Restaurant_14,Yes,Yes,4.5,1288,515,Quick Bites,Chennai,2025
Restaurant_15,No,Yes,3.3,2533,4866,Café,Hyderabad,2022
Restaurant_16,Yes,No,3.5,1450,3255,Buffet,Bangalore,2021
Restaurant_17,Yes,No,2.7,1350,2049,Quick Bites,Delhi,2025
Restaurant_18,No,No,2.2,2231,2153,Café,Mumbai,2025
Restaurant_19,No,Yes,3.7,2402,588,Casual Dining,Kolkata,2020
Restaurant_20,No,Yes,2.3,1371,2969,Buffet,Delhi,2023
Restaurant_21,Yes,Yes,3.3,601,4739,Fine Dining,Hyderabad,2022
Restaurant_22,No,Yes,4.8,536,3246,Quick Bites,Delhi,2019
Restaurant_23,Yes,Yes,4.9,2513,2615,Café,Hyderabad,2025
Restaurant_24,No,Yes,2.7,1302,2589,Casual Dining,Mumbai,2021
Restaurant_25,Yes,No,3.9,1664,503,Fine Dining,Hyderabad,2023
Restaurant_26,No,Yes,3.4,4916,963,Café,Delhi,2023
Restaurant_27,Yes,Yes,4.6,197,2173,Café,Kolkata,2019
Restaurant_28,No,No,2.8,2768,1015,Fine Dining,Pune,2025
Restaurant_29,Yes,Yes,2.0,538,1077,Casual Dining,Delhi,2021
Restaurant_30,No,No,2.5,443,4998,Casual Dining,Hyderabad,2022
Restaurant_31,No,Yes,3.0,3522,2526,Buffet,Pune,2018
Restaurant_32,Yes,No,2.9,1814,2629,Quick Bites,Hyderabad,2021
Restaurant_33,No,No,4.4,312,2260,Fine Dining,Kolkata,2019
Restaurant_34,Yes,No,4.0,4192,4598,Fine Dining,Hyderabad,2023
Restaurant_35,Yes,No,2.9,447,1779,Fine Dining,Mumbai,2022
Restaurant_36,No,No,3.4,2598,4455,Casual Dining,Bangalore,2021
Restaurant_37,Yes,Yes,2.3,842,2401,Quick Bites,Delhi,2018
Restaurant_38,No,Yes,4.7,806,3797,Buffet,Bangalore,2018
Restaurant_39,No,No,4.8,569,1403,Café,Hyderabad,2020
Restaurant_40,Yes,No,4.9,3598,2624,Café,Kolkata,2020
Restaurant_41,No,No,4.6,771,4075,Fine Dining,Delhi,2024
Restaurant_42,Yes,Yes,2.5,3584,3023,Quick Bites,Hyderabad,2019
Restaurant_43,Yes,No,2.1,3795,3485,Casual Dining,Pune,2025
Restaurant_44,No,No,3.7,2524,2263,Quick Bites,Chennai,2021
Restaurant_45,No,No,4.7,694,2179,Quick Bites,Hyderabad,2021
Restaurant_46,Yes,No,2.5,4243,4548,Casual Dining,Bangalore,2025
Restaurant_47,Yes,Yes,2.0,587,3331,Fine Dining,Delhi,2024
Restaurant_48,No,No,4.4,4815,3292,Quick Bites,Bangalore,2023
Restaurant_49,No,No,2.2,237,3864,Café,Delhi,2023
